State,2009 - SO2,2009 - NO2,2009 - PM,2010 - SO2,2010 - NO2,2010 - PM,2011 - SO2,2011 - NO2,2011 - PM,2012 - SO2,2012 - NO2,2012 - PM
Andhra Pradesh,7,20,86,5,17,73,7,19,77,7,18,72
Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,72
Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,36,166
Chandigarh,2,15,81,2,16,92,2,16,102,2,19,110
Chhattisgarh,16,31,164,11,22,107,12,27,173,11,26,151
Dadra & Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,NA
Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,NA
Delhi,6,50,252,5,55,261,5,57,222,5,59,237
Goa,3,14,74,14,18,68,10,18,100,11,17,96
Gujarat,16,24,92,15,23,89,15,25,88,15,26,94
Haryana,13,20,168,14,23,171,13,25,146,9,23,147
Himachal Pradesh,3,13,89,3,15,88,3,12,88,2,15,99
Jharkhand,23,42,186,23,39,193,23,39,197,23,41,173
Karnataka,10,27,85,10,22,70,11,21,71,9,20,83
Kerala,5,15,46,4,13,42,4,14,42,4,13,55
Maharashtra,15,31,100,17,31,101,18,33,111,17,33,105
Madhya Pradesh,10,17,129,11,17,137,12,18,135,14,22,128
Meghalaya,6,9,88,2,10,101,17,10,89,9,11,73
Mizoram,2,6,40,2,6,42,2,5,57,2,7,54
Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nagaland,2,16,80,2,6,68,2,6,82,2,6,86
Orissa,5,18,88,5,18,86,4,19,96,4,17,82
Punjab,10,30,199,11,27,187,10,25,147,10,27,162
Puduchery,3,11,42,6,13,38,7,16,42,8,14,42
Rajasthan,6,27,129,7,29,168,7,31,165,8,34,173
Tamil Nadu,11,20,72,9,20,70,10,22,77,11,21,73
Uttar Pradesh,14,31,174,12,30,181,13,30,163,12,29,184
Uttarakhand,28,30,130,NA,NA,169,21,24,158,26,28,162
West Bengal,10,68,136,10,64,110,11,56.6,127,12,58,137
